Rank,Word,CEFR,PartOfSpeech,IPA_UK,Chinese,Collocation,Example_EN,Example_CN,Synonym,Antonym,MemoryTip
1445,destroy,A2,verb,/dɪˈstrɔɪ/,毁坏；消灭,destroy evidence;destroy completely;fire destroyed,The storm destroyed several old wooden houses.,风暴毁坏了几栋旧木屋。,ruin;demolish,build;create,de + stroy：拆到不能用。
1446,affair,A2,noun,/əˈfeə(r)/,事务；事件；风流韵事,public affairs;love affair;current affairs,Current affairs programmes discuss today's news in detail.,时事节目详细讨论今日新闻。,matter;business,,affair：正在办理或发生的事。
1447,civil,A2,adj.,/ˈsɪvl/,民用的；公民的；有礼貌的,civil war;civil rights;civil engineer,Civil rights protect equal treatment under the law.,公民权利保障法律面前的平等对待。,civic;polite,military;rude,civil：与公民社会相关，也指文明有礼。
1448,locate,A2,verb,/ləʊˈkeɪt/,定位；找出位置,locate in;be located;locate a place,The hotel is located next to the central station.,酒店位于中央车站旁边。,find;situate,,locate：弄清或把某物放在某处。
1449,citizen,A2,noun,/ˈsɪtɪzn/,公民；市民,British citizen;senior citizen;good citizen,Every citizen has the right to vote in free elections.,每位公民都有权在自由选举中投票。,national;resident,,city → citizen：城市共同体的成员。
1450,temperature,A2,noun,/ˈtemprətʃə(r)/,温度；体温,high temperature;body temperature;room temperature,The temperature dropped below zero overnight.,气温一夜之间降到了零下。,heat;reading,,temperature：冷热程度的读数。
1451,gold,A2,noun; adj.,/ɡəʊld/,金；金色的,gold medal;gold jewellery;pure gold,She won a gold medal in the swimming race.,她在游泳比赛中赢得了金牌。,golden metal,,gold：贵重的黄色金属。
1452,domestic,A2,adj.,/dəˈmestɪk/,国内的；家庭的,domestic flight;domestic market;domestic violence,Domestic flights are usually cheaper than international ones.,国内航班通常比国际航班便宜。,home;national,foreign;international,dom-（家）→ domestic：家里的，或国境之内的。
1453,load,A2,noun; verb,/ləʊd/,负荷；装载,heavy load;load a truck;load of,Workers began to load boxes onto the lorry.,工人开始把箱子装上卡车。,cargo;burden,unload,load：扛着的份量，或往上装。
1454,belief,A2,noun,/bɪˈliːf/,信念；信仰,strong belief;beyond belief;belief in,She has a strong belief in the value of education.,她坚信教育的价值。,faith;conviction,doubt,believe → belief：心里认定的东西。
1455,troop,A2,noun,/truːp/,部队；一群（常复数 troops）,ground troops;troop movement;boy scout troop,Troops were sent to help after the earthquake.,地震后派出了部队协助救灾。,soldiers;group,,troop(s)：成建制行动的军人群体。
1456,technical,A2,adj.,/ˈteknɪkl/,技术的；专业的,technical problem;technical support;technical skill,Call technical support if the software fails to open.,如果软件打不开，请致电技术支持。,specialised;technological,,techn-（技艺）→ technical：偏操作与专业细节。
1457,remind,A2,verb,/rɪˈmaɪnd/,提醒；使想起,remind someone of;remind about;just to remind,Please remind me to call the hotel tomorrow.,请提醒我明天给酒店打电话。,jog memory;prompt,,re + mind：让某事再次进入脑海。
1458,arrangement,A2,noun,/əˈreɪndʒmənt/,安排；布置,make arrangements;seating arrangement;by arrangement,We made travel arrangements for the school trip last week.,我们上周做好了学校旅行的行程安排。,plan;organisation,,arrange → arrangement：安排好的结果。
1459,skin,A2,noun,/skɪn/,皮肤；外皮,dry skin;skin care;thick skin,Use cream if your skin feels dry in winter.,冬天皮肤干燥时请使用面霜。,hide;complexion,,skin：包住身体最外的那一层。
1460,prison,A2,noun,/ˈprɪzn/,监狱,in prison;prison sentence;prison officer,The judge sent him to prison for five years.,法官判处他五年监禁。,jail;gaol,,prison：关押犯人的地方。
1461,switch,A2,verb; noun,/swɪtʃ/,转换；开关,switch on;switch off;light switch,Please switch off the lights when you leave.,离开时请关掉电灯。,change;toggle,,switch：拨一下就换到另一边。
1462,acquire,A2,verb,/əˈkwaɪə(r)/,获得；习得,acquire knowledge;acquire skills;acquire a company,Children acquire language skills through daily conversation.,儿童通过日常对话习得语言技能。,obtain;gain,lose,acquire：经过过程把某物变成自己的。
1463,corporate,A2,adj.,/ˈkɔːpərət/,公司的；法人的,corporate culture;corporate tax;corporate client,Corporate culture can affect how staff work together.,企业文化会影响员工如何协作。,company;business,,corporation → corporate：大公司层面的。
1464,fairly,A2,adv.,/ˈfeəli/,相当；公平地,fairly good;fairly easy;treat fairly,The test was fairly easy if you had revised well.,如果复习充分，这次考试相当容易。,quite;justly,unfairly,fair + ly：还算可以，或办事公平。
1465,wood,A2,noun,/wʊd/,木头；木材；树林,made of wood;wood floor;in the woods,This table is made of strong local wood.,这张桌子由当地结实的木材制成。,timber;forest,,wood：树加工后的材料；woods＝树林。
1466,participate,A2,verb,/pɑːˈtɪsɪpeɪt/,参加；参与,participate in;actively participate;participate fully,All students are invited to participate in the sports day.,欢迎全体学生参加运动会。,take part;join,withdraw,part + icipate：成为活动的一部分。
1467,tough,A2,adj.,/tʌf/,艰难的；坚韧的,tough decision;tough time;tough question,Choosing a university can be a tough decision.,选择大学可能是艰难的决定。,hard;strong,easy;soft,tough：咬不动、也撑得住。
1468,tear,A2,verb; noun,/teə(r)/; /tɪə(r)/,撕破；眼泪,tear up;in tears;tear apart,Don't tear the page out of the library book.,不要从图书馆的书上撕下书页。,rip;cry,mend,撕破读 /teə/；眼泪常读 /tɪə/。
1469,representative,A2,noun; adj.,/ˌreprɪˈzentətɪv/,代表；有代表性的,sales representative;elected representative;representative of,Each class chose a representative for the student council.,每个班级选了一名学生会代表。,delegate;typical,,represent → representative：替大家说话的人。
1470,capacity,A2,noun,/kəˈpæsəti/,容量；能力,full capacity;seating capacity;capacity to,The hall was filled to capacity for the concert.,音乐会时大厅座无席满。,ability;volume,,capacity：能装多少，或能做到什么。
1471,border,A2,noun; verb,/ˈbɔːdə(r)/,边界；接壤,cross the border;border town;border on,You need a passport to cross the national border.,跨越国境需要护照。,boundary;edge,,border：两国或两地之间的那条线。
1472,shake,A2,verb; noun,/ʃeɪk/,摇动；握手；震动,shake hands;shake your head;milkshake,They shook hands and agreed to work together.,他们握手并同意共事。,tremble;jolt,,shake：迅速来回晃。
1473,assessment,A2,noun,/əˈsesmənt/,评估；评定,risk assessment;continuous assessment;assessment of,The final assessment includes a written test and a project.,期末评估包括笔试和项目作业。,evaluation;appraisal,,assess → assessment：测一测水平如何。
1474,shoe,A2,noun,/ʃuː/,鞋,pair of shoes;shoe shop;put on shoes,Wipe your shoes before you enter the house.,进屋前请擦一下鞋子。,footwear,,shoe：保护双脚、成双成对。
1475,ought,A2,modal verb,/ɔːt/,应当；应该,ought to;ought not;you ought,You ought to check the weather before you leave.,出门前你应当查看天气。,should,,ought to ≈ should：道德或合理上该做。
1476,ad,A2,noun,/æd/,广告（advertisement 缩写）,job ad;newspaper ad;run an ad,I found this flat through an online housing ad.,我是通过网上的租房广告找到这套公寓的。,advert;advertisement,,ad＝advertisement：简短广告。
1477,fee,A2,noun,/fiː/,费用；酬金,entrance fee;tuition fee;service fee,The museum entrance fee is free for children under five.,五岁以下儿童免收博物馆门票费。,charge;cost,,fee：为服务或进入权付的钱。
1478,hall,A2,noun,/hɔːl/,大厅；礼堂；走廊,town hall;school hall;concert hall,Parents waited in the hall outside the exam room.,家长在考场外的大厅等候。,lobby;auditorium,,hall：宽敞可供多人聚集的室内空间。
1479,regulation,A2,noun,/ˌreɡjuˈleɪʃn/,规定；条例,safety regulation;government regulation;strict regulation,New safety regulations require helmets on all building sites.,新安全条例要求所有建筑工地佩戴头盔。,rule;law,,regulate → regulation：用来规范行为的条文。
1480,escape,A2,verb; noun,/ɪˈskeɪp/,逃跑；逃脱,escape from;narrow escape;escape the heat,Two rabbits escaped from their cage last night.,昨晚两只兔子从笼子里逃了出来。,flee;getaway,capture,escape：从困住你的地方溜走。
1481,studio,A2,noun,/ˈstjuːdiəʊ/,工作室；演播室；画室,recording studio;art studio;film studio,The band recorded their first album in a small studio.,乐队在一个小录音棚录制了第一张专辑。,workshop;atelier,,studio：专心创作或录制的房间。
1482,proper,A2,adj.,/ˈprɒpə(r)/,适当的；正当的,proper way;proper care;at the proper time,Wear proper shoes when you go hiking in the hills.,在山里徒步时请穿合适的鞋子。,suitable;correct,improper,proper：符合规矩、恰到好处。
1483,relax,A2,verb,/rɪˈlæks/,放松；松懈,relax and enjoy;relax your muscles;time to relax,"After exams, students need time to relax with friends.",考试结束后，学生需要与朋友一起放松。,rest;unwind,tense,re + lax：让紧绷松开。
1484,tourist,A2,noun,/ˈtʊərɪst/,游客；旅行者,foreign tourist;tourist attraction;tourist information,Tourists take photos outside the old palace every day.,游客每天都在古老宫殿外拍照。,visitor;traveller,,tour + ist：以观光为目的的人。
1485,component,A2,noun,/kəmˈpəʊnənt/,部件；组成部分,key component;component of;electronic component,Trust is a key component of good teamwork.,信任是良好团队合作的关键组成部分。,part;element,whole,com + ponent：拼进整体里的一块。
1486,afford,A2,verb,/əˈfɔːd/,买得起；承担得起,can afford;afford to;afford the time,We cannot afford to waste another week on this error.,我们不能再浪费一周在这个错误上。,have money for;spare,,afford：口袋和时间都扛得住。
1487,lawyer,A2,noun,/ˈlɔːjə(r)/,律师,defence lawyer;see a lawyer;lawyer's advice,She spoke to a lawyer before signing the contract.,签合同前她咨询了律师。,attorney;solicitor,,law + yer：精通法律并代理人的专业人士。
1488,suspect,A2,verb; noun,/səˈspekt/; /ˈsʌspekt/,怀疑；嫌疑人,suspect that;prime suspect;suspect of,Police have identified a suspect in the robbery case.,警方已锁定抢劫案中的一名嫌疑人。,doubt;accused,trust,动词重音在后；名词嫌疑人重音多在前。
1489,cup,A2,noun,/kʌp/,杯子；奖杯,cup of tea;World Cup;plastic cup,Would you like a cup of tea or coffee?,你想喝杯茶还是咖啡？,mug;trophy,,cup：小容量饮具，也指冠军奖杯。
1490,description,A2,noun,/dɪˈskrɪpʃn/,描述；说明,job description;detailed description;description of,Please write a short description of your favourite place.,请简短描述一下你最喜欢的地方。,account;portrayal,,describe → description：用语言画出事物。
1491,confidence,A2,noun,/ˈkɒnfɪdəns/,信心；信任,gain confidence;in confidence;confidence in,Public speaking practice can build your confidence.,演讲练习能增强你的信心。,self-assurance;trust,doubt,con + fidence：内心笃定可信。
1492,industrial,A2,adj.,/ɪnˈdʌstriəl/,工业的,industrial area;industrial revolution;industrial waste,Old industrial buildings have become art studios.,旧工业建筑已变成艺术工作室。,manufacturing;factory-related,agricultural,industry → industrial：与工厂生产相关。
1493,complain,A2,verb,/kəmˈpleɪn/,抱怨；投诉,complain about;complain to;complain of,Customers complain about slow internet service.,顾客抱怨网络服务太慢。,grumble;protest,praise,complain：把不满说出来。
1494,perspective,A2,noun,/pəˈspektɪv/,视角；观点,from the perspective of;new perspective;in perspective,Try to see the problem from another person's perspective.,试着从别人的视角看这个问题。,viewpoint;angle,,per + spective：从哪一边看出去。
1495,error,A2,noun,/ˈerə(r)/,错误；误差,make an error;human error;error message,I found an error in the second column of the table.,我在表格第二列发现了一个错误。,mistake;fault,accuracy,error：偏离正确结果的偏差。
1496,arrest,A2,verb; noun,/əˈrest/,逮捕；阻止,under arrest;arrest someone;house arrest,The police arrested two men after the bank robbery.,银行抢劫后警方逮捕了两名男子。,detain;capture,release,arrest：依法把人扣下。
1497,assess,A2,verb,/əˈses/,评估；评定,assess risk;assess progress;assess the damage,Teachers assess students' progress throughout the term.,老师在整学期评估学生的进步。,evaluate;judge,,assess：量一量值多少、进度如何。
1498,register,A2,verb; noun,/ˈredʒɪstə(r)/,登记；注册；名册,register for;register online;cash register,Please register for the course before Friday.,请在周五前注册这门课程。,enrol;record,,register：把名字写进正式名单。
1499,asset,A2,noun,/ˈæset/,资产；宝贵品质,financial asset;valuable asset;assets and liabilities,Good communication skills are a valuable asset at work.,良好的沟通技能是工作中的宝贵资产。,resource;advantage,liability,asset：能帮你增值或取胜的东西。
1500,signal,A2,noun; verb,/ˈsɪɡnəl/,信号；示意,traffic signal;send a signal;signal that,A red traffic signal means you must stop.,红色交通信号表示你必须停下。,sign;indicate,,signal：传出“该怎么做”的讯息。
1501,finger,B1,noun,/ˈfɪŋɡə(r)/,手指,point a finger;finger tip;cut a finger,She pointed her finger at the map on the wall.,她用手指指着墙上的地图。,digit,,finger：手上的五根指头。
1502,relevant,B1,adj.,/ˈreləvənt/,相关的,relevant to;highly relevant;relevant information,Is this book relevant to your research topic?,这本书和你的研究主题相关吗？,related;pertinent,irrelevant,re + levant：与话题“抬起来”相关。
1503,explore,B1,verb,/ɪkˈsplɔː(r)/,探索；探究,explore an idea;explore the area;explore further,We plan to explore the old city on foot tomorrow.,我们计划明天步行探索这座古城。,investigate;discover,,ex + plore：向外探寻。
1504,leadership,B1,noun,/ˈliːdəʃɪp/,领导；领导力,strong leadership;leadership skills;under the leadership,The team needs strong leadership during the crisis.,危机时期团队需要有力领导。,guidance;direction,,leader + ship：领导者的身份与能力。
1505,commitment,B1,noun,/kəˈmɪtmənt/,承诺；投入,make a commitment;strong commitment;commitment to,She made a clear commitment to finish the project.,她明确承诺要完成这个项目。,promise;dedication,,commit + ment：承诺并投入。
1506,wake,B1,verb; noun,/weɪk/,醒来；唤醒；尾流,wake up;wake someone;in the wake of,Please wake me up at seven tomorrow morning.,请明天早上七点叫醒我。,awaken;rouse,sleep,wake up：从睡着状态醒过来。
1507,necessarily,B1,adv.,/ˌnesəˈserəli/,必然地；必定,not necessarily;necessarily mean;necessarily true,A high price does not necessarily mean better quality.,高价不一定意味着质量更好。,inevitably;inevitably,optionally,必要（necessary）地发生。
1508,bright,B1,adj.,/braɪt/,明亮的；聪明的,bright light;bright student;bright future,The room felt bright after we opened the curtains.,拉开窗帘后房间变得明亮。,intelligent;vivid,dull;dim,bright：光线亮，或人脑子亮。
1509,frame,B1,noun; verb,/freɪm/,框架；装框,picture frame;frame of mind;frame a photo,She bought a wooden frame for the family photo.,她给全家福买了个木框。,structure;border,,frame：把画面围起来的框。
1510,slowly,B1,adv.,/ˈsləʊli/,缓慢地,walk slowly;slowly but surely;speak slowly,He walked slowly across the quiet street.,他慢慢走过安静的街道。,gradually,quickly;rapidly,slow + ly：以慢的方式。
1511,bond,B1,noun; verb,/bɒnd/,纽带；债券；粘结,strong bond;bond with;chemical bond,They formed a strong bond during the trip.,旅途中他们结下了深厚情谊。,link;tie,breach,bond：把人或物粘在一起的纽带。
1512,hire,B1,verb; noun,/ˈhaɪə(r)/,雇用；租用,hire someone;for hire;hire a car,The company plans to hire three new engineers.,公司计划雇用三名新工程师。,employ;rent,fire;dismiss,hire：花钱请人做事或租用。
1513,hole,B1,noun,/həʊl/,洞；孔,dig a hole;black hole;hole in,There is a big hole in the middle of the road.,路中间有一个大洞。,gap;opening,,hole：中间空掉的地方。
1514,tie,B1,noun; verb,/taɪ/,领带；系；平局,tie a knot;close tie;tie with,Please tie your shoelaces before you run.,跑步前请系好鞋带。,bind;draw,untie,tie：把两端系紧，也可指领带。
1515,internal,B1,adj.,/ɪnˈtɜːnl/,内部的,internal affairs;internal email;internal damage,This is an internal matter for the university.,这是学校的内部事务。,inner;domestic,external,in + ternal：在里面的。
1516,chain,B1,noun; verb,/tʃeɪn/,链条；连锁,supply chain;chain of;chain store,The bike lock is a heavy metal chain.,自行车锁是一条沉重的金属链。,link;series,,chain：一环扣一环的链条。
1517,literature,B1,noun,/ˈlɪtrətʃə(r)/,文学；文献,English literature;literature review;classical literature,She studied modern literature at university.,她在大学学习现代文学。,writing;texts,,literature：以文字创作的作品与文献。
1518,victim,B1,noun,/ˈvɪktɪm/,受害者,crime victim;fall victim to;help the victims,The fire left several families as victims of loss.,火灾使几户家庭成了损失的受害者。,casualty;sufferer,,victim：受到伤害或损失的人。
1519,threaten,B1,verb,/ˈθretn/,威胁；危及,threaten to;threaten someone;threaten safety,Heavy rain may threaten the outdoor concert tonight.,大雨可能危及今晚的户外演唱会。,menace;intimidate,reassure,threat + en：使成为威胁。
1520,division,B1,noun,/dɪˈvɪʒn/,分开；部门；除法,division of labour;sales division;clear division,There is a clear division between work and rest.,工作与休息之间界限分明。,separation;section,unity,di + vision：分成不同部分。
1521,secure,B1,adj.; verb,/sɪˈkjʊə(r)/,安全的；确保；获得,secure job;secure the door;feel secure,Please secure the door before you leave the office.,离开办公室前请把门关严。,safe;obtain,insecure;risk,se + cure：保护到没有忧虑。
1522,amaze,B1,verb,/əˈmeɪz/,使惊讶,amaze someone;be amazed by;truly amaze,The magician’s trick will amaze the children.,魔术师的把戏会让孩子们惊叹。,astonish;impress,,a + maze：像走进迷宫般惊讶。
1523,device,B1,noun,/dɪˈvaɪs/,设备；装置,electronic device;mobile device;safety device,This small device can measure your heart rate.,这个小设备能测心率。,gadget;tool,,device：为特定目的设计的装置。
1524,birth,B1,noun,/bɜːθ/,出生；诞生,give birth;date of birth;birth of,The birth of their daughter changed their lives.,女儿的出生改变了他们的生活。,delivery;origin,death,birth：生命开始的那一刻。
1525,forest,B1,noun,/ˈfɒrɪst/,森林,dense forest;forest fire;walk in the forest,We hiked through a quiet forest after lunch.,午饭后我们徒步穿过一片安静的森林。,woods;woodland,,forest：大片树木覆盖的地方。
1526,label,B1,noun; verb,/ˈleɪbl/,标签；贴标签,food label;label as;read the label,Please read the label before you take the medicine.,服药前请先看标签。,tag;mark,,label：说明内容或身份的签。
1527,root,B1,noun; verb,/ruːt/,根；根源；扎根,root cause;plant roots;take root,We need to find the root cause of the problem.,我们需要找出问题的根源。,source;origin,,root：植物的根，也指事情根源。
1528,factory,B1,noun,/ˈfæktəri/,工厂,car factory;factory worker;factory floor,Her uncle works in a large car factory.,她叔叔在一家大型汽车工厂工作。,plant;mill,,factory：把原材料做成产品的地方。
1529,expense,B1,noun,/ɪkˈspens/,费用；开支,at great expense;travel expense;cut expenses,Travel expense is paid by the company this month.,本月差旅费由公司支付。,cost;outlay,income,ex + pense：花出去的钱。
1530,channel,B1,noun; verb,/ˈtʃænl/,频道；渠道；河道,TV channel;distribution channel;channel energy,She switched to another news channel after dinner.,晚饭后她换到另一个新闻频道。,route;passage,,channel：信息或水流经过的通道。
1531,investigate,B1,verb,/ɪnˈvestɪɡeɪt/,调查,investigate a crime;investigate further;police investigate,The police will investigate the accident carefully.,警方将仔细调查这起事故。,examine;probe,,in + vestigate：深入查访。
1532,recommendation,B1,noun,/ˌrekəmenˈdeɪʃn/,推荐；建议,make a recommendation;strong recommendation;letter of recommendation,My teacher wrote a strong recommendation for me.,老师为我写了强有力的推荐信。,advice;suggestion,,recommend + ation：推荐的结果。
1533,rank,B1,noun; verb,/ræŋk/,等级；排名；列队,high rank;rank among;rank first,Her university ranks among the best in the country.,她的大学在全国名列前茅。,position;grade,,rank：排队后的位置高低。
1534,typical,B1,adj.,/ˈtɪpɪkl/,典型的；平常的,typical day;typical example;typical of,A typical day starts with coffee and emails.,平常的一天从咖啡和邮件开始。,usual;characteristic,atypical;unusual,type + ical：属于某一类型。
1535,west,B1,noun; adj.; adv.,/west/,西；西方的,go west;west of;to the west,The sun sets in the west every evening.,太阳每天傍晚在西边落下。,,east,west：地图上左边的方向（面对北时）。
1536,friendly,B1,adj.,/ˈfrendli/,友好的,friendly smile;user-friendly;friendly to,The hotel staff were friendly and helpful.,酒店员工友好又乐于助人。,kind;amiable,unfriendly;hostile,friend + ly：像朋友一样。
1537,resident,B1,noun; adj.,/ˈrezɪdənt/,居民；居住的,local resident;permanent resident;resident of,Local residents asked for cleaner streets.,当地居民要求街道更干净。,inhabitant;dweller,visitor,reside + ent：住在某地的人。
1538,provision,B1,noun,/prəˈvɪʒn/,供应；条款；预备,make provision;legal provision;provision of,The law includes a clear provision for sick leave.,法律对病假有明确条款。,supply;clause,,pro + vision：事先看到并准备好。
1539,concentrate,B1,verb,/ˈkɒnsntreɪt/,集中；浓缩,concentrate on;concentrate hard;hard to concentrate,Please concentrate on the next three questions.,请集中注意力做接下来三道题。,focus;centre,distract,con + centrate：把注意力收到中心。
1540,plenty,B1,pron.; noun; adv.,/ˈplenti/,充足；大量,plenty of;plenty more;in plenty,There is plenty of time to finish the report.,还有充足时间完成报告。,lots;abundance,scarcity,plenty：够多、不用担心不够。
1541,export,B1,verb; noun,/ɪkˈspɔːt/; /ˈekspɔːt/,出口；输出,export goods;export market;oil export,The country exports coffee to many markets.,该国向许多市场出口咖啡。,ship out;sell abroad,import,ex + port：从港口运出去。
1542,entirely,B1,adv.,/ɪnˈtaɪəli/,完全地,entirely different;entirely sure;not entirely,I am not entirely sure about the final date.,我对最终日期并不完全确定。,completely;wholly,partly,entire + ly：整个地。
1543,strongly,B1,adv.,/ˈstrɒŋli/,强烈地；坚决地,strongly agree;strongly recommend;feel strongly,I strongly recommend booking tickets early.,我强烈建议尽早订票。,firmly;powerfully,weakly,strong + ly：以强的方式。
1544,bridge,B1,noun; verb,/brɪdʒ/,桥；弥合,cross a bridge;bridge the gap;build a bridge,A new bridge connects the two small towns.,一座新桥连接了两座小镇。,link;span,,bridge：架在两岸之间的连接。
1545,consist,B1,verb,/kənˈsɪst/,由……组成,consist of;consist in;mainly consist,The committee consists of five teachers.,委员会由五位教师组成。,comprise;be made up of,,con + sist：站在一起构成整体。
1546,graduate,B1,noun; verb,/ˈɡrædʒuət/; /ˈɡrædʒueɪt/,毕业生；毕业,college graduate;graduate from;graduate student,She will graduate from university next summer.,她明年夏天将大学毕业。,alum;finish,,gradual 升级完成：毕业。
1547,brand,B1,noun; verb,/brænd/,品牌；打上烙印,brand name;famous brand;brand new,She prefers a well-known brand of shampoo.,她更喜欢知名品牌的洗发水。,make;label,,brand：商品的牌子。
1548,moral,B1,adj.; noun,/ˈmɒrəl/,道德的；寓意,moral duty;moral support;the moral of,The story has a clear moral about honesty.,这个故事有一个关于诚实的明确寓意。,ethical;lesson,immoral,moral：关乎对错的规范。
1549,insist,B1,verb,/ɪnˈsɪst/,坚持；坚决要求,insist on;insist that;strongly insist,She insisted on paying for the meal herself.,她坚持要自己付这顿饭钱。,demand;maintain,yield,in + sist：站在立场上不退让。
1550,combination,B1,noun,/ˌkɒmbɪˈneɪʃn/,组合；结合,in combination;combination of;perfect combination,A combination of rest and exercise helped him.,休息与锻炼的结合帮助了他。,mix;blend,separation,combine + ation：合在一起的结果。
1551,abuse,B1,noun; verb,/əˈbjuːs/; /əˈbjuːz/,虐待；滥用,drug abuse;abuse of power;verbal abuse,The report condemns the abuse of public money.,报告谴责滥用公款。,misuse;ill-treat,care;respect,ab + use：错误地使用。
1552,ice,B1,noun,/aɪs/,冰,ice cream;on ice;break the ice,Be careful—there is ice on the steps outside.,小心——外面台阶上有冰。,frost,,ice：水结成的固体。
1553,principal,B1,adj.; noun,/ˈprɪnsəpl/,主要的；校长；本金,principal reason;school principal;principal amount,The principal reason for the delay was the weather.,延误的主要原因是天气。,main;head,minor,principal：最首要的那个（勿与 principle 混淆）。
1554,master,B1,noun; verb; adj.,/ˈmɑːstə(r)/,主人；大师；掌握,master of;master a skill;master bedroom,She wants to master three programming languages.,她想精通三门编程语言。,expert;control,servant;amateur,master：完全掌控或已精通的人。
1555,definitely,B1,adv.,/ˈdefɪnətli/,肯定地；明确地,definitely yes;definitely agree;definitely worth,I will definitely call you after the meeting.,会后我一定会给你打电话。,certainly;surely,possibly;doubtfully,definite + ly：明确无疑地。
1556,session,B1,noun,/ˈseʃn/,一场；会议；学期,training session;practice session;session of,We have a short training session on Friday.,周五我们有一场短暂培训。,meeting;period,,session：一段集中进行的活动时间。
1557,grade,B1,noun; verb,/ɡreɪd/,等级；成绩；评分,final grade;grade the papers;high grade,Her final grade in maths was excellent.,她数学期末成绩很好。,mark;level,,grade：分出高低好坏的档次。
1558,nevertheless,B1,adv.,/ˌnevəðəˈles/,然而；尽管如此,nevertheless true;but nevertheless;nevertheless decide,"It was raining; nevertheless, we went hiking.",在下雨；尽管如此，我们还是去徒步了。,however;still,,never + the + less：尽管少了那些条件仍如此。
1559,predict,B1,verb,/prɪˈdɪkt/,预测,predict the future;predict that;hard to predict,Experts predict that prices will rise next year.,专家预测明年价格会上涨。,forecast;foretell,,pre + dict：事先说出。
1560,previously,B1,adv.,/ˈpriːviəsli/,以前；先前,previously known;as previously;previously mentioned,She had previously worked in a bookshop.,她以前在书店工作过。,formerly;earlier,later;subsequently,previous + ly：在先前那个时间。
1561,protection,B1,noun,/prəˈtekʃn/,保护,protection from;legal protection;sun protection,Wear a hat for protection from the sun.,戴帽子以防晒。,defence;shelter,exposure,protect + ion：保护的状态或措施。
1562,largely,B1,adv.,/ˈlɑːdʒli/,主要地；很大程度上,largely due to;largely based on;largely ignored,Success was largely due to careful planning.,成功很大程度上归功于周密计划。,mostly;mainly,slightly,large + ly：在很大程度上。
1563,wed,B1,verb,/wed/,与……结婚,wed someone;newly wed;wed in,They will wed in a small church next spring.,他们明年春天将在一座小教堂结婚。,marry,,wed：正式结为夫妻（wedding 的动词根）。
1564,rent,B1,noun; verb,/rent/,租金；租用,pay rent;rent a flat;for rent,They rent a small flat near the station.,他们在车站附近租了一套小公寓。,lease;hire,own,rent：付钱使用别人的房子或物品。
1565,shot,B1,noun; adj.,/ʃɒt/,射击；镜头；一剂,take a shot;camera shot;flu shot,The photographer took a beautiful shot of the lake.,摄影师拍下了湖面的美丽镜头。,photo;injection,,shot：一下子打出去的一枪或一拍。
1566,appearance,B1,noun,/əˈpɪərəns/,外表；出现,make an appearance;physical appearance;first appearance,His sudden appearance surprised everyone.,他突然出现让大家吃惊。,look;arrival,disappearance,appear + ance：看起来怎样，或出现这件事。
1567,reasonable,B1,adj.,/ˈriːznəbl/,合理的；公道的,reasonable price;reasonable request;beyond reasonable,The hotel offered a reasonable price for two nights.,酒店两晚的价格很公道。,fair;sensible,unreasonable,reason + able：说得通、合乎情理。
1568,guarantee,B1,noun; verb,/ˌɡærənˈtiː/,保证；保修,give a guarantee;money-back guarantee;guarantee that,We cannot guarantee tickets for the late show.,我们无法保证晚场门票。,assurance;promise,,guarantee：做出保证并承担责任。
1569,till,B1,prep.; conj.; noun,/tɪl/,直到；收银台,wait till;till then;cash till,Please wait till the light turns green.,请等到灯变绿。,until,,till ≈ until：一直到某个点。
1570,theme,B1,noun,/θiːm/,主题,main theme;theme park;theme of,The main theme of the book is friendship.,这本书的主题是友谊。,topic;motif,,theme：贯穿始终的中心思想。
1571,judgment,B1,noun,/ˈdʒʌdʒmənt/,判断；判决,good judgment;pass judgment;value judgment,Use your own judgment when choosing a course.,选课时要靠自己的判断。,decision;verdict,,judge + ment：判断的结果（美式拼写保留）。
1572,odd,B1,adj.,/ɒd/,奇怪的；奇数的,odd number;odd look;odd jobs,It seemed odd that the shop was closed at noon.,中午店门关着显得很奇怪。,strange;unusual,even;normal,odd：不合常规，或不能被2整除。
1573,approve,B1,verb,/əˈpruːv/,批准；赞成,approve of;approve a plan;officially approve,The board will approve the budget next week.,董事会下周将批准预算。,accept;endorse,reject;disapprove,ap + prove：证明为可接受。
1574,loan,B1,noun; verb,/ləʊn/,贷款；借出,bank loan;student loan;loan someone,She took out a bank loan to buy a car.,她向银行贷款买车。,credit;lend,,loan：暂时借出、以后要还。
1575,definition,B1,noun,/ˌdefɪˈnɪʃn/,定义；清晰度,clear definition;by definition;high definition,What is the definition of this technical term?,这个术语的定义是什么？,meaning;clarity,,define + ition：界定清楚的说法。
1576,elect,B1,verb,/ɪˈlekt/,选举；选择,elect a leader;elect to;newly elect,Voters will elect a new mayor in June.,选民将在六月选举新市长。,choose;vote,,e + lect：挑选出来。
1577,atmosphere,B1,noun,/ˈætməsfɪə(r)/,气氛；大气,friendly atmosphere;work atmosphere;Earth’s atmosphere,The café has a warm and friendly atmosphere.,这家咖啡馆气氛温暖友好。,mood;air,,atmo + sphere：空气球层，引申为气氛。
1578,farmer,B1,noun,/ˈfɑːmə(r)/,农民；农场主,dairy farmer;farmer’s market;local farmer,The farmer grows rice and vegetables each year.,这位农民每年种植水稻和蔬菜。,grower;agriculturist,,farm + er：在农场工作的人。
